id,item_code,barcode,item_name,group_name,item_type,unit,lot_managed,fefo_enabled,default_shelf_life_raw,reorder_point,notes,recipe_link,source_row
6483c7cf-9135-51f5-a5f9-19aa0457f482,TP001,TP001,Ức gà cajun,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Ức gà cajun,3
89694f4f-6d11-514f-a687-e843c6f47a9f,TP002,TP002,Ức gà ngũ vị,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Ức gà ngũ vị,4
a0ec520e-9f2d-58b9-8663-6103b2cc2aba,TP003,TP003,Ứ́c gà gừng tỏi,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Ứ́c gà gừng tỏi,5
93ec1e36-5f6c-52e6-afec-f4d2c238220f,TP004,TP004,Ức gà̀ cà ri,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Ức gà̀ cà ri,6
41a3ace3-259d-5e1b-adf2-68ed1af55b62,TP005,TP005,Cốt lết mè rang,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Cốt lết mè rang,7
b2555361-d001-5d89-9be5-4e53d4d89b90,TP006,TP006,Cốt lết gừng tỏi,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Cốt lết gừng tỏi,8
c4e2e039-5542-55c9-8ce2-8976e2ecb3c3,TP007,TP007,Nạc heo sả nghệ,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Nạc heo sả nghệ,9
3cedcebd-e9f4-54fb-8984-cd9acd95dd15,TP008,TP008,Nạ̣c heo ngũ vị,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Nạ̣c heo ngũ vị,10
580c5cbb-88cd-517a-bbb1-eaf25964bd4c,TP009,TP009,Thăn bò ngũ vị,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Thăn bò ngũ vị,11
2edafbc1-27dc-5321-8d93-4473304ae1a6,TP010,TP010,Thăn bò̀ cajun,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Thăn bò̀ cajun,12
e4e49245-a50c-546b-8e38-98e18fb31a25,TP011,TP011,Tôm gừng tỏi,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Tôm gừng tỏi,13
3573d21e-7fd4-528f-b32f-38e1079abb99,TP012,TP012,Tôm cajun,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Tôm cajun,14
4332fa6b-0558-5c08-9ac2-8e27d2d846c2,TP013,TP013,Cá thu cà ri,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Cá thu cà ri,15
b2afc92f-036e-5169-9d98-49b520257d33,TP014,TP014,Cá hồi ??,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Cá hồi ??,16
2a1c9d40-4fd7-4c2d-b7d8-4d0a8f15e015,TP015,TP015,Nạ̣c heo tây bắc,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Nạ̣c heo tây bắc,17
2a1c9d40-4fd7-4c2d-b7d8-4d0a8f15e016,TP016,TP016,Thăn bò tây bắc,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Thăn bò tây bắc,18
2a1c9d40-4fd7-4c2d-b7d8-4d0a8f15e017,TP017,TP017,Ức gà sả chanh,Meal Prep,Thành phẩm,phần/gói,True,True,2026-03-27,,Món bán sẵn / thành phẩm,Ức gà sả chanh,19
2951e7d1-36f0-51e0-bb71-3356c45776fa,GV001,GV001,Muối hồng,Gia vị,Gia vị,Hủ,True,True,,,Gia vị / seasoning / dry stock,,17
2ebe887a-03aa-5ac8-adfc-09882dd0607a,GV002,GV002,Bột nêm rau củ,Gia vị,Gia vị,Bịch,True,True,,,Gia vị / seasoning / dry stock,,18
4a9c7627-ac1e-5968-a984-32ca606f69c3,GV003,GV003,Ngũ vị hương,Gia vị,Gia vị,Hủ,True,True,,,Gia vị / seasoning / dry stock,,19
1b85a30d-a7dd-5f03-943d-9f56bbbf183c,GV004,GV004,Bộ̣t tỏi,Gia vị,Gia vị,Hủ,True,True,,,Gia vị / seasoning / dry stock,,20
297e780b-56e1-56c9-b13c-04cb25be9111,GV005,GV005,Bột hành,Gia vị,Gia vị,Hủ,True,True,,,Gia vị / seasoning / dry stock,,21
a7b6cd40-8a10-503d-8822-db71ecfe0574,GV006,GV006,Bột sả,Gia vị,Gia vị,Hủ,True,True,,,Gia vị / seasoning / dry stock,,22
159fcc9e-a16f-58b2-aa90-fa6d4c36a6c8,GV007,GV007,Bột ớt,Gia vị,Gia vị,Hủ,True,True,,,Gia vị / seasoning / dry stock,,23
dd3e6ee7-c6cd-5ad3-b1ef-9499c47708a9,GV008,GV008,Bột ngò,Gia vị,Gia vị,Hủ,True,True,,,Gia vị / seasoning / dry stock,,24
78128655-1bc4-5e84-a49b-c47fcc8e041f,GV009,GV009,Bột thì là,Gia vị,Gia vị,Hủ,True,True,,,Gia vị / seasoning / dry stock,,25
f31e79e0-0567-5107-9208-f8d823f114a0,GV010,GV010,Bột quế,Gia vị,Gia vị,Hủ,True,True,,,Gia vị / seasoning / dry stock,,26
1f115e24-842d-5142-bf6e-c47329145430,GV011,GV011,Bột nghệ,Gia vị,Gia vị,Hủ,True,True,,,Gia vị / seasoning / dry stock,,27
8a453abb-bf4a-560c-acdb-9076622bbf0b,GV012,GV012,Bột gừng,Gia vị,Gia vị,Hủ,True,True,,,Gia vị / seasoning / dry stock,,28
a3f56ab9-167b-5138-93d2-6dc7d0916d68,GV013,GV013,Đường mía,Gia vị,Gia vị,Bịch,True,True,,,Gia vị / seasoning / dry stock,,29
cfae53e3-4880-5117-ac5c-45032f80d333,GV014,GV014,Tiêu đen,Gia vị,Gia vị,Hủ,True,True,,,Gia vị / seasoning / dry stock,,30
2f957787-5bbf-50b9-9219-87dde6d331b3,GV015,GV015,Mắc khén,Gia vị,Gia vị,Hủ,True,True,,,Gia vị / seasoning / dry stock,,31
