sheet_name,row_num,col_num,cell_ref,value_text,formula_text
Danh_sách_gia_vị,1,1,A1,Tính giá cost ,
Danh_sách_gia_vị,2,1,A2,Tên gia vị,
Danh_sách_gia_vị,2,2,B2,Đơn vị tính,
Danh_sách_gia_vị,2,3,C2,Đơn giá,
Danh_sách_gia_vị,2,4,D2,Trọng lượng cho mỗi đơn vị (G),
Danh_sách_gia_vị,2,5,E2,Giá cho 1g,
Danh_sách_gia_vị,2,7,G2,Công thức cho seasoning ngũ vị,
Danh_sách_gia_vị,2,8,H2,Trọng lượng (G),
Danh_sách_gia_vị,2,9,I2,Giá cost,
Danh_sách_gia_vị,2,10,J2,Cost của 1g hoàn chỉnh,
Danh_sách_gia_vị,2,11,K2,Cost cho 10g gia vị,
Danh_sách_gia_vị,2,12,L2,Cost cho 15g gia vị,
Danh_sách_gia_vị,3,1,A3,Muối hồng,
Danh_sách_gia_vị,3,2,B3,Hủ,
Danh_sách_gia_vị,3,3,C3,110000.0,
Danh_sách_gia_vị,3,4,D3,1000.0,
Danh_sách_gia_vị,3,5,E3,110,=SUM(C3/D3)
Danh_sách_gia_vị,3,7,G3,Muối hồng,
Danh_sách_gia_vị,3,8,H3,30.0,
Danh_sách_gia_vị,3,9,I3,3300,=H3*E3
Danh_sách_gia_vị,4,1,A4,Bột nêm rau củ,
Danh_sách_gia_vị,4,2,B4,Bịch,
Danh_sách_gia_vị,4,3,C4,200000.0,
Danh_sách_gia_vị,4,4,D4,1000.0,
Danh_sách_gia_vị,4,5,E4,200,=SUM(C4/D4)
Danh_sách_gia_vị,4,7,G4,Bột nêm rau củ,
Danh_sách_gia_vị,4,8,H4,20.0,
Danh_sách_gia_vị,4,9,I4,4000,=H4*E4
Danh_sách_gia_vị,5,1,A5,Ngũ vị hương,
Danh_sách_gia_vị,5,2,B5,Hủ,
Danh_sách_gia_vị,5,3,C5,31000.0,
Danh_sách_gia_vị,5,4,D5,40.0,
Danh_sách_gia_vị,5,5,E5,775,=SUM(C5/D5)
Danh_sách_gia_vị,5,7,G5,Ngũ vị hương,
Danh_sách_gia_vị,5,8,H5,10.0,
Danh_sách_gia_vị,5,9,I5,7750,=H5*E5
Danh_sách_gia_vị,6,1,A6,Bộ̣t tỏi,
Danh_sách_gia_vị,6,2,B6,Hủ,
Danh_sách_gia_vị,6,3,C6,34000.0,
Danh_sách_gia_vị,6,4,D6,70.0,
Danh_sách_gia_vị,6,5,E6,485.7142857,=SUM(C6/D6)
Danh_sách_gia_vị,6,7,G6,Bộ̣t tỏi,
Danh_sách_gia_vị,6,8,H6,15.0,
Danh_sách_gia_vị,6,9,I6,7285.714286,=H6*E6
Danh_sách_gia_vị,7,1,A7,Bột hành,
Danh_sách_gia_vị,7,2,B7,Hủ,
Danh_sách_gia_vị,7,3,C7,45000.0,
Danh_sách_gia_vị,7,4,D7,70.0,
Danh_sách_gia_vị,7,5,E7,642.8571429,=SUM(C7/D7)
Danh_sách_gia_vị,7,7,G7,Bột hành,
Danh_sách_gia_vị,7,8,H7,10.0,
Danh_sách_gia_vị,7,9,I7,6428.571429,=H7*E7
Danh_sách_gia_vị,8,1,A8,Bột sả,
Danh_sách_gia_vị,8,2,B8,Hủ,
Danh_sách_gia_vị,8,3,C8,26000.0,
Danh_sách_gia_vị,8,4,D8,40.0,
Danh_sách_gia_vị,8,5,E8,650,=SUM(C8/D8)
Danh_sách_gia_vị,8,7,G8,Tiêu đen xay,
Danh_sách_gia_vị,8,8,H8,5.0,
Danh_sách_gia_vị,8,9,I8,750,=H8*E16
Danh_sách_gia_vị,9,1,A9,Bột ớt,
Danh_sách_gia_vị,9,2,B9,Hủ,
Danh_sách_gia_vị,9,3,C9,24000.0,
Danh_sách_gia_vị,9,4,D9,45.0,
Danh_sách_gia_vị,9,5,E9,533.3333333,=SUM(C9/D9)
Danh_sách_gia_vị,9,7,G9,Bột nghệ,
Danh_sách_gia_vị,9,8,H9,3.0,
Danh_sách_gia_vị,9,9,I9,2314.285714,=H9*E13
Danh_sách_gia_vị,10,1,A10,Bột ngò,
Danh_sách_gia_vị,10,2,B10,Hủ,
Danh_sách_gia_vị,10,3,C10,25000.0,
Danh_sách_gia_vị,10,4,D10,40.0,
Danh_sách_gia_vị,10,5,E10,625,=SUM(C10/D10)
Danh_sách_gia_vị,10,7,G10,Đường mía,
Danh_sách_gia_vị,10,8,H10,12.0,
Danh_sách_gia_vị,10,9,I10,924,=H10*E15
Danh_sách_gia_vị,11,1,A11,Bột thì là,
Danh_sách_gia_vị,11,2,B11,Hủ,
Danh_sách_gia_vị,11,3,C11,44000.0,
Danh_sách_gia_vị,11,4,D11,40.0,
Danh_sách_gia_vị,11,5,E11,1100,=C11/D11
Danh_sách_gia_vị,11,7,G11,Tổng cộng,
Danh_sách_gia_vị,11,8,H11,105,=SUM(H3:H10)
Danh_sách_gia_vị,11,9,I11,32752.57143,=SUM(I3:I10)
Danh_sách_gia_vị,11,10,J11,311.9292517,=I11/H11
Danh_sách_gia_vị,11,11,K11,3119.292517,=J11*10
Danh_sách_gia_vị,11,12,L11,4678.938776,=J11*15
Danh_sách_gia_vị,12,1,A12,Bột quế,
Danh_sách_gia_vị,12,2,B12,Hủ,
Danh_sách_gia_vị,12,3,C12,24000.0,
Danh_sách_gia_vị,12,4,D12,35.0,
Danh_sách_gia_vị,12,5,E12,685.7142857,=SUM(C12/D12)
Danh_sách_gia_vị,13,1,A13,Bột nghệ,
Danh_sách_gia_vị,13,2,B13,Hủ,
Danh_sách_gia_vị,13,3,C13,27000.0,
Danh_sách_gia_vị,13,4,D13,35.0,
Danh_sách_gia_vị,13,5,E13,771.4285714,=SUM(C13/D13)
Danh_sách_gia_vị,13,7,G13,Công thức cho chanh sả,
Danh_sách_gia_vị,13,8,H13,Trọng lượng (G),
Danh_sách_gia_vị,13,9,I13,Giá cost,
Danh_sách_gia_vị,13,10,J13,Cost của 1g hoàn chỉnh,
Danh_sách_gia_vị,13,11,K13,Cost cho 10g gia vị  /1kg thịt,
